YEAR,TRAVELLING COMPANION,SINGAPORE,THAILAND ,INDONESIA,BRUNEI,PHILIPPINES,VIETNAM,CHINA,JAPAN,SOUTH KOREA,TAIWAN,INDIA,PAKISTAN,SAUDI ARABIA,UNITED ARAB EMIRATES,OMAN,KUWAIT,IRAN ,CANADA,USA,UNITED KINGDOM,IRELAND,SWEDEN,DENMARK,FINLAND,NORWAY,ITALY,SPAIN,FRANCE,BELGIUM,NETHERLANDS,GERMANY,SWITZERLAND,RUSSIA,AUSTRALIA,NEW ZEALAND,SOUTH AFRICA,CENTRAL ASIA,OTHER ASEAN,OTHER EAST ASIA,OTHERS SOUTH ASIA,OTHERS WEST ASIA,OTHERS AMERICAS,OTHERS EUROPE,OTHERS
2016,ALONE,18.63985072,30.11111111,12.89915966,10.24358417,13.91941392,5.823863636,4.218682738,10.86350975,9.375,7.784431138,5.917159763,12.25,3.340757238,11.62790698,11.29032258,0,3.470715835,27.60180995,29.50713359,22.99829642,25.28735632,12.39316239,11.85185185,20.12578616,18.6440678,14.96062992,14.15929204,19.37172775,31.1827957,17.4904943,19.29824561,21.30434783,28.57142857,18.34956433,11.44781145,39.7260274,11.41975309,31.42857143,0,2.702702703,9.310344828,28.49162011,23.23113208,16.65080875
2016,WITH SPOUSE,35.47584491,16.66666667,24.62184874,24.94562853,27.47252747,11.50568182,30.90830822,26.46239554,36.25,55.68862275,30.07889546,21.25,53.89755011,51.1627907,35.48387097,75,18.87201735,38.68778281,40.79118029,42.71720613,44.82758621,47.86324786,31.85185185,41.50943396,47.45762712,40.94488189,41.59292035,40,19.35483871,34.60076046,42.10526316,44.34782609,26.45502646,45.82265505,43.43434343,36.98630137,23.7654321,5.714285714,0,15.31531532,28.96551724,36.31284916,39.85849057,27.49762131
2016,WITH CHILDREN,3.93945677,0.888888889,3.844537815,2.240104393,1.465201465,0.568181818,0.731812312,0.557103064,0.625,1.19760479,1.282051282,1.25,0.445434298,4.651162791,1.612903226,0,0.21691974,1.131221719,0.713359274,0.38330494,1.149425287,1.282051282,2.962962963,2.51572327,0,0.787401575,0.442477876,0.942408377,2.150537634,1.901140684,0.4784689,0.869565217,1.587301587,0.717580728,0.336700337,0,0.925925926,0,0,2.702702703,1.379310345,3.351955307,0.589622642,1.3320647
2016,WITH FAMILY/RELATIVES,23.74041053,12,37.94117647,44.49760766,15.01831502,30.96590909,37.83900129,16.43454039,16.25,24.5508982,44.2800789,28.25,36.52561247,20.93023256,50,25,60.52060738,7.466063348,6.225680934,9.582623509,10.34482759,17.94871795,19.25925926,15.09433962,1.694915254,7.874015748,5.309734513,14.03141361,18.27956989,19.58174905,7.655502392,8.260869565,15.34391534,14.40287032,17.84511785,10.95890411,17.28395062,8.571428571,0,39.63963964,33.79310345,11.73184358,11.6745283,24.54804948
2016,STUDENT GROUP,0.082935932,3.111111111,0.945378151,0,5.494505495,0.568181818,0.473525613,0.835654596,0,0,0,2.5,0.222717149,0,0,0,0,0,0.129701686,0.212947189,2.298850575,0,0,0,0,0,0,0.209424084,0,1.330798479,0.318979266,0.869565217,0,0.461301896,0.336700337,0,2.777777778,0,0,7.207207207,0.344827586,0,0,0.856327307
2016,WITH FRIENDS,14.67965996,30.22222222,14.89495798,16.15919965,34.06593407,35.51136364,18.42445114,18.38440111,28.125,9.281437126,12.13017751,16.5,4.677060134,6.976744186,0,0,15.18438178,24.2081448,18.09338521,22.06132879,16.09195402,18.8034188,31.11111111,17.61006289,32.20338983,30.70866142,35.84070796,22.40837696,29.03225806,23.19391635,27.43221691,23.04347826,26.45502646,17.4782163,21.54882155,8.219178082,29.01234568,48.57142857,0,13.51351351,19.65517241,18.43575419,21.69811321,21.59847764
2016,WITH BUSINESS ACCOCIATE,2.197802198,4.777777778,2.100840336,1.109177903,1.098901099,2.698863636,1.291433491,25.62674095,8.125,0.299401198,3.25443787,8,0.890868597,4.651162791,1.612903226,0,0.867678959,0.904977376,3.955901427,1.95911414,0,0.854700855,2.962962963,2.51572327,0,4.330708661,2.654867257,1.361256545,0,1.901140684,2.711323764,0.434782609,1.587301587,1.640184521,5.050505051,4.109589041,2.160493827,5.714285714,0,8.108108108,4.827586207,1.675977654,2.712264151,2.949571836
2016,WITH INCENTIVE GROUP,0.435413643,1,1.575630252,0.065245759,0,7.386363636,2.367628067,0.278551532,0,0.598802395,1.479289941,9,0,0,0,0,0.650759219,0,0,0,0,0,0,0,0,0,0,0.104712042,0,0,0,0,0,0.051255766,0,0,8.333333333,0,0,10.81081081,0,0,0,2.568981922
2016,OTHERS,0.808625337,1.222222222,1.176470588,0.717703349,1.465201465,4.971590909,3.745157124,0.557103064,1.25,0.598802395,1.57790927,1,0,0,0,0,0.21691974,0,0.583657588,0.085178876,0,0.854700855,0,0.628930818,0,0.393700787,0,1.570680628,0,0,0,0.869565217,0,1.076371092,0,0,4.320987654,0,0,0,1.724137931,0,0.235849057,1.99809705
2017,ALONE,20.60794873,23.20790906,10.4444279,6.845094193,3.492989767,2.836389597,1.891543015,8.433469518,4.572416038,1.498047583,4.792973242,6.350193357,3.111111111,4.255319149,0.877192982,3.703703704,1.407242134,28.86744786,21.66773492,15.53463349,17.18615134,11.37955225,26.12386473,8.263399832,27.5862069,21.29376903,10.76403048,18.68674923,26.47959584,12.47902913,16.82370935,28.69966585,14.41503679,14.96986973,12.13294476,24.24242424,6.451612903,6.661509815,3.046415327,6.022001412,17.11343315,15.58833441,8.520568762,18.27619575
2017,WITH SPOUSE,39.35709957,17.7518301,28.03993525,21.22843015,7.563565166,11.46887968,30.38503049,30.28704313,36.81395076,55.72437142,23.87612324,20.26014071,48.44444444,14.89361702,33.33333333,14.81481481,22.08806303,33.41761299,40.11452193,46.33490249,48.39465916,48.36101649,20.89361508,35.15709563,51.72413793,34.14554711,34.02749459,36.66264027,37.18055379,40.4337723,38.63959209,28.70914603,29.61173588,40.0835855,41.30665181,42.42424242,27.82258065,17.76402617,16.24754841,27.7012065,30.22976562,34.34580155,31.17394503,57.12564341
2017,WITH CHILDREN,5.909328181,4.229537839,3.874938124,2.223966623,0.185026155,0.739927721,0.665733856,0,1.2698029,0.166449731,0.4855032,0.60478032,0.444444444,0,0,0,0.703621067,0.164362676,1.553212989,0.336247478,0,0,1.492401077,0.688616653,0,0.710831513,0.347080629,1.210208885,1.408607791,0.502935007,0.570687123,0,2.654767701,0.419879449,0,0,2.016129032,2.220503272,0,0.602200141,2.053611978,0.753607205,1.096880013,9.65091694
2017,WITH FAMILY/RELATIVES,22.89093648,11.84205418,34.85692818,54.49904038,39.95383989,37.04794626,42.01341278,20.04033461,33.20631922,36.28604147,53.01003667,31.61978909,43.55555556,61.70212766,52.63157895,81.48148148,63.83951563,4.109066897,8.853432244,13.71889711,11.85064416,17.78211082,14.92401077,4.820316569,10.34482759,8.885393915,12.14782202,16.94588239,14.08607791,22.65300046,6.517563828,6.482710395,23.43386297,12.09745286,18.46574151,27.27272727,29.83870968,33.32301963,48.0753976,43.39318673,10.56965452,17.76491131,36.01613662,7.507978737
2017,STUDENT GROUP,0.170061653,4.447579276,0.903757847,0.082397603,0.185026155,0.246642574,0.219801164,5.742226605,2.485171179,0,0.008274502,1.814340959,0,0,0.877192982,0,0,0.164362676,1.598245963,0,0,0,1.492401077,0,0,0,0,0,0,0.502935007,0,0,0,0.139959816,0,0,2.822580645,0,2.030943551,0,0,0,1.090849886,1.622874657
2017,WITH FRIENDS,9.342827001,29.2651927,15.49025675,14.21565122,46.35498476,32.54777731,20.44326983,25.40124509,19.45059781,5.159941676,11.27186558,16.36910341,4,10.63829787,12.28070175,0,9.850694938,32.61969619,22.80789317,20.10759919,21.13636606,20.34313425,32.08890512,49.69333801,10.34482759,27.14531178,41.32524976,25.23566535,19.43655688,22.67392559,36.05462068,35.64542698,29.22090473,29.73952162,25.41767054,6.060606061,21.37096774,33.3694313,24.50686446,18.66820438,39.34899741,30.41693472,18.34424786,1.916750714
2017,WITH BUSINESS ACCOCIATE,1.053480794,4.803506686,2.668730544,0.816345585,1.931521038,1.109891582,0.49455262,8.455044872,1.580449297,0.166449731,2.07626553,6.350193357,0.444444444,0,0,0,1.407242134,0.328725352,2.293135513,2.555480834,0,0,2.984802154,0.688616653,0,7.108315132,1.041241888,0.157356735,0,0.754402511,1.294267862,0.463050742,0.663691925,0.909738805,2.230826154,0,3.225806452,0,2.030943551,3.613200847,0.684537326,0.942009007,1.818083143,3.896608254
2017,WITH INCENTIVE GROUP,0.141506766,2.656691057,2.296330611,0.042152608,0.148020924,8.226645678,1.682314242,0.820318086,0,0.332899463,2.879921196,15.11950799,0,0,0,0,0.351810533,0,0.347444775,0.134498991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.629032258,0,4.061887102,0,0,0,1.090849886,0.002675233
2017,OTHERS,0.526810823,1.795699095,1.424694796,0.046921638,0.185026155,5.775899606,2.204342007,0.820318086,0.621292795,0.665798926,1.599036831,1.511950799,0,8.510638298,0,0,0.351810533,0.328725352,0.764378504,1.277740417,1.432179278,2.13418619,0,0.688616653,0,0.710831513,0.347080629,1.101497145,1.408607791,0,0.099559066,0,0,1.639992222,0.446165231,0,2.822580645,6.661509815,0,0,0,0.188401801,0.8484388,0.000356301
